_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_is_this_tweet_related_to_turkish_protests_2013,_does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest,is_this_tweet_related_to_turkish_protests_2013_gold,is_this_tweet_related_to_turkish_protests_2013_gold_reason,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold_reason,id,created_at,text,proccd_text
1744443795,0.01,111,false,"",0.0,,,"","",0,This tweet is not related to Gezi protest.,,,3.43439E+17,Sat Jun 08 18:45:54 +0000 2013,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9,
1744443796,0.10,90,false,unnnfair,0.0111,,,"","",0,This  tweet doesn't discuss or refer to the  Gezi protest in a clear way.,,,3.4304E+17,Fri Jun 07 16:20:48 +0000 2013,RT @StefanFuleEU: Disappointed by the lost opportunity at the #Istanbul conference to reach out to those calling for respect inclusive di,
1744443797,0.01,100,false,"",0.0,,,"","",0,The tweet is not about the Gezi protests.,,,3.42446E+17,Thu Jun 06 01:02:50 +0000 2013,RT @dembabafoot: A nice refreshing afternoon in the middle of the sea. #holiday #turkey http://t.co/S9B6MWDFZ4,
1744443798,0.01,99,false,"",0.0,,,"","",0,It doesn't state clearly that is it related to the Gezi park protests,,,3.48478E+17,Sat Jun 22 16:31:09 +0000 2013,White turkey!!,
1744443799,0.01,99,false,"",0.0,,,"","",0,,,,3.41638E+17,Mon Jun 03 19:29:07 +0000 2013,Sweatin like a jive turkey #NoonBikeRide #TrynaGetThatTan #WhiteAsCasper,
1744443800,0.25,108,false,"",0.0,,,"","",1,It uses the hashtag  #occupygezi,0,it doesn't explicitly report any violent incident during the protest,3.40974E+17,Sat Jun 01 23:30:57 +0000 2013,"RT @thelittleidiot: i really hope that erdogan and the akp are paying attention... ""turkey is a democracy, not a theocracy"" #occupygezi #di",
1744443801,0.01,93,false,"",0.0,,,"","",0,,,,3.4499E+17,Thu Jun 13 01:30:32 +0000 2013,"Turkey panini, sweet potato fries, peach cider, vanilla bean gelato, and The Avengers. Do not bother me for the next couple of hours!",
1744443802,0.22,94,false,"This tweet don´t talk about the protests 
no me especifica nada de la protesta de turquia ",0.0213,,,"","",1,,0,,3.42351E+17,Wed Jun 05 18:42:49 +0000 2013,Gezi Park Philharmonic: THE MOST BEAUTIFUL REVOLUTION SO FAR! MUST SEE! #OCCUPYGEZI #WEAREGEZI http://t.co/rDashhO3O1 via @youtube,
1744443803,0.30,88,false,"your instruction is about Gezi park protests in Turkey 2013 BUT this query is about Moroccans protest Erdogan's visit to Morocco - it definitely is unrelated at all !!!!
talk about morrocans",0.0227,,,"","",1,,,,3.41656E+17,Mon Jun 03 20:42:15 +0000 2013,"RT @anafoulla: Moroccans protesting Erdogan's visit #direngeziparki It says ""no to the criminal's visit to our country"" http://t.co/yYiT ...",
1744443904,0.30,119,false,"",0.0,,,"","",1,,0,,3.46395E+17,Sun Jun 16 22:33:40 +0000 2013,"RT @ceylanozbudak: 152.000 new flowers, 30 new trees were planted to #Gezi Park/ #Taksim after it was cleaned of the #protestors http://t.c",
1744443905,0.10,93,false,"",0.0,,,"","",0,,,,3.46948E+17,Tue Jun 18 11:10:50 +0000 2013,#TurkeyNeedsWWAT Please come to Turkey!! @onedirection :),
1744443906,0.02,101,false,"",0.0,,,"","",0,,,,3.40758E+17,Sat Jun 01 09:11:47 +0000 2013,RT @wicked_fun: @flightdeckflooz think your the thick one. That's in Galatasaray and people travel to old town Istanbul. Wide river in betw,
1744443907,0.14,85,false,"",0.0,,,"","",0,,,,3.41612E+17,Mon Jun 03 17:45:35 +0000 2013,The Turkish people need to give president erdogan some slack.He made turkey in a decade rising economic power when before it was struggling,
1744443908,0.27,105,false,"Unfair, the user is talk about the situation in turkey and he wants that the press shows the truth about the protest. Please review. Thanks
Please review",0.019,,,"","",0,It doesn't state clearly that is it related to the Gezi park protests,,,3.41579E+17,Mon Jun 03 15:37:44 +0000 2013,RT @karim_design: I LOVE TURKEY. ALL MY PRESS FRIENDS - PLEASE SHOW THE WORLD THE TRUTH OF THE SITUATION THERE. THYE NEED OUR SUPPORT! GLO,
1744443909,0.16,86,false,Unfair,0.0116,,,"","",1,,,,3.43446E+17,Sat Jun 08 19:13:16 +0000 2013,RT @MahadmaGandhi: Pics from today protests: Izmir https://t.co/lvS3YpkD5b and Istanbul http://t.co/u9rhsU9RAX - #occupygezi #spiegel #welt,
1744443910,0.20,98,false,"",0.0,,,"","",1,,0,,3.41166E+17,Sun Jun 02 12:15:03 +0000 2013,RT @sneijder101010: My heart is with Turkish people who are defending their rights #occupygezi #direngeziparki #taksim #direnankara,
1744443911,0.26,77,false,"",0.0,,,"","",1,,0,,3.41599E+17,Mon Jun 03 16:55:56 +0000 2013,"RT @GlobalPost: Turkish protesters capture history in Instagrams and Vines | PHOTOS, VIDEO: http://t.co/kmGSLvBLmz #occupygezi",
1744443912,0.05,87,false,unfair ,0.0115,,,"","",1,,1,,3.4127E+17,Sun Jun 02 19:08:48 +0000 2013,"RT @ReutersWorld: In Turkey, at least 100 injured as police clash with protesters at Gezi Park http://t.co/FPyLrsV9Na #occupygezi http://t.",
1744443913,0.29,83,false,"injusto, por que el #ocupytukey  y  #occupygezi,  habla de ocupacion en medio de las protestas, por lo tanto hay una violencia implicita en el acto. CORREJIR
unfair",0.0241,,,"","",1,It uses hash tags related to the protests like  #occupyturkey #occupygezi #direngeziparki #occupyankara #direnankara,0,The tweet doesn't explicitly report violence.,3.43513E+17,Sat Jun 08 23:40:01 +0000 2013,Kennedy street in Ankara now #occupyturkey #occupygezi #direngeziparki #occupyankara #direnankara http://t.co/1F0ZtsAuiI,
1744443915,0.19,91,false,"",0.0,,,"","",1,,0,,3.46306E+17,Sun Jun 16 16:38:31 +0000 2013,RT @Jenna_Krajeski: Left rally halfway through Erdogan's speech and I wasn't the only one. Big crowd but people in #gezi and #taksim are mo,
1744443916,0.01,101,false,"",0.0,,,"","",0,,,,3.46215E+17,Sun Jun 16 10:37:04 +0000 2013,"In-Play 
Turkey Vs Israel (Beach Football)
Over 12.5 goals
(Current score 4.6)
ODDS 4/5 http://t.co/GPkM8Wrpsf",
